Area,Sector,Residential No of Rooms,Looking For,Sales Cost (Local),Sales Limit Lower (Local),Sales Limit Upper (Local),Rents Cost (Local),Rents Limit Lower (Local),Rents Limit Upper (Local)
ajah,residential,2,Buy a property,53480000,50806000,56154000,1545833,1468541,1623125
ajah,residential,3,Buy a property,66327273,63010909,69643637,2409091,2288636,2529546
ajah,residential,4,Buy a property,80530769,76504231,84557307,3890909,3696364,4085454
ajah,residential,5,Buy a property,150000000,142500000,157500000,8666667,8233334,9100000
ikeja-gra,residential,2,Buy a property,100000000,95000000,105000000,5500000,5225000,5775000
ikeja-gra,residential,3,Buy a property,130000000,123500000,136500000,8000000,7600000,8400000
ikeja-gra,residential,4,Buy a property,191875000,182281250,201468750,10333333,9816666,10850000
ikoyi,residential,2,Buy a property,213252698,202590063,223915333,9500000,9025000,9975000
ikoyi,residential,3,Buy a property,404918596,384672666,425164526,23349602,22182122,24517082
ikoyi,residential,4,Buy a property,735450086,698677582,772222590,33999294,32299329,35699259
ikoyi,residential,5,Buy a property,966612986,918282337,1014943635,23166667,22008334,24325000
jabi,residential,2,Buy a property,72500000,68875000,76125000,2500000,2375000,2625000
jabi,residential,3,Buy a property,190000000,180500000,199500000,3675000,3491250,3858750
jabi,residential,4,Buy a property,135000000,128250000,141750000,6000000,5700000,6300000
lekki-phase-1,residential,2,Buy a property,112194444,106584722,117804166,5112500,4856875,5368125
lekki-phase-1,residential,3,Buy a property,161000000,152950000,169050000,7687500,7303125,8071875
lekki-phase-1,residential,4,Buy a property,215600000,204820000,226380000,6500000,6175000,6825000
mabushi,residential,2,Buy a property,35000000,33250000,36750000,2350000,2232500,2467500
mabushi,residential,3,Buy a property,30000000,28500000,31500000,3066667,2913334,3220000
mabushi,residential,4,Buy a property,106666667,101333334,112000000,5125000,4868750,5381250
mabushi,residential,5,Buy a property,143333333,136166666,150500000,6500000,6175000,6825000
maitama,residential,2,Buy a property,155624998,147843748,163406248,10833333,10291666,11375000
maitama,residential,3,Buy a property,186750000,177412500,196087500,14700000,13965000,15435000
maitama,residential,4,Buy a property,300000000,285000000,315000000,18500000,17575000,19425000
maitama,residential,5,Buy a property,398437500,378515625,418359375,18000000,17100000,18900000
sangotedo,residential,2,Buy a property,30198500,28688575,31708425,1250000,1187500,1312500
sangotedo,residential,3,Buy a property,46363636,44045454,48681818,1700000,1615000,1785000
sangotedo,residential,4,Buy a property,72840000,69198000,76482000,3000000,2850000,3150000
victoria-island,residential,2,Buy a property,205714286,195428572,216000000,9166667,8708334,9625000
victoria-island,residential,3,Buy a property,236080000,224276000,247884000,16875000,16031250,17718750
victoria-island,residential,4,Buy a property,371666667,353083334,390250000,21000000,19950000,22050000
yaba,residential,2,Buy a property,30375000,28856250,31893750,1760000,1672000,1848000
yaba,residential,3,Buy a property,64000000,60800000,67200000,2700000,2565000,2835000
yaba,residential,4,Buy a property,71600000,68020000,75180000,3500000,3325000,3675000
airport-residential-area,residential,2,Buy a property,4535917,4309121,4762713,414120,393414,434826
airport-residential-area,residential,3,Buy a property,5870466,5576943,6163989,454886,432142,477630
airport-residential-area,residential,4,Buy a property,7630000,7248500,8011500,612180,581571,642789
airport-residential-area,residential,5,Buy a property,10231667,9720084,10743250,732000,695400,768600
cantonments,residential,2,Buy a property,3921298,3725233,4117363,368854,350411,387297
cantonments,residential,3,Buy a property,5498975,5224026,5773924,493086,468432,517740
cantonments,residential,4,Buy a property,8466667,8043334,8890000,593400,563730,623070
cantonments,residential,5,Buy a property,11112500,10556875,11668125,762000,723900,800100
dzorwulu,residential,2,Buy a property,2944400,2797180,3091620,316866,301023,332709
dzorwulu,residential,3,Buy a property,5267500,5004125,5530875,368700,350265,387135
dzorwulu,residential,4,Buy a property,5857625,5564744,6150506,442440,420318,464562
east-legon-1,residential,2,Buy a property,2511473,2385899,2637047,317450,301578,333323
east-legon-1,residential,3,Buy a property,3700500,3515475,3885525,439282,417318,461246
east-legon-1,residential,4,Buy a property,4872355,4628737,5115973,405000,384750,425250
east-legon-1,residential,5,Buy a property,6881000,6536950,7225050,566400,538080,594720
ridge,residential,2,Buy a property,2221500,2110425,2332575,286190,271881,300500
ridge,residential,3,Buy a property,3406250,3235938,3576563,377685,358801,396569
ridge,residential,4,Buy a property,5155500,4897725,5413275,717960,682062,753858
spintex-road-area,residential,2,Buy a property,2206193,2095883,2316503,192891,183246,202536
spintex-road-area,residential,3,Buy a property,2692178,2557569,2826787,229860,218367,241353
spintex-road-area,residential,4,Buy a property,3972148,3773541,4170755,408960,388512,429408
tema,residential,2,Buy a property,902824,857683,947965,137291,130426,144156
tema,residential,3,Buy a property,1946175,1848866,2043484,81792,77702,85882
tema,residential,4,Buy a property,3352833,3185191,3520475,338400,321480,355320
tema,residential,5,Buy a property,5202000,4941900,5462100,439560,417582,461538
tse-addo,residential,2,Buy a property,1754468,1666745,1842191,250716,238180,263252
tse-addo,residential,3,Buy a property,3420074,3249070,3591078,257360,244492,270228
tse-addo,residential,4,Buy a property,6870994,6527444,7214544,340248,323236,357260
kileleshwa,residential,2,Buy a property,14742857,14005714,15480000,1032222,980611,1083833
kileleshwa,residential,3,Buy a property,18823077,17881923,19764231,1329220,1262759,1395681
kileleshwa,residential,4,Buy a property,22971429,21822858,24120000,1800000,1710000,1890000
kileleshwa,residential,5,Buy a property,75200000,71440000,78960000,2425000,2303750,2546250
kilimani,residential,2,Buy a property,13330808,12664268,13997348,960000,912000,1008000
kilimani,residential,3,Buy a property,21600541,20520514,22680568,1520000,1444000,1596000
lavington,residential,2,Buy a property,11000000,10450000,11550000,762000,723900,800100
lavington,residential,3,Buy a property,15795714,15005928,16585500,1382965,1313817,1452113
lavington,residential,4,Buy a property,39545455,37568182,41522728,1900000,1805000,1995000
lavington,residential,5,Buy a property,59842308,56850193,62834423,3273333,3109666,3437000
parklands,residential,2,Buy a property,14642857,13910714,15375000,1080000,1026000,1134000
parklands,residential,3,Buy a property,24025141,22823884,25226398,1470000,1396500,1543500
parklands,residential,4,Buy a property,26070000,24766500,27373500,1740000,1653000,1827000
upper-hill,residential,2,Buy a property,17893500,16998825,18788175,934500,887775,981225
upper-hill,residential,3,Buy a property,27983333,26584166,29382500,1240000,1178000,1302000
upper-hill,residential,4,Buy a property,30000000,28500000,31500000,1800000,1710000,1890000
westlands,residential,2,Buy a property,17353846,16486154,18221538,1355234,1287472,1422996
westlands,residential,3,Buy a property,25984615,24685384,27283846,1770000,1681500,1858500
westlands,residential,4,Buy a property,40333333,38316666,42350000,2513333,2387666,2639000
